filename,index,sum_brightness
image_001.tif,1,15000342
image_002.tif,2,15023156
image_003.tif,3,15041789
image_004.tif,4,15067234
image_005.tif,5,15089567
image_006.tif,6,15108923
image_007.tif,7,15134578
image_008.tif,8,15156234
image_009.tif,9,15182456
image_010.tif,10,15201789
image_011.tif,11,15226834
image_012.tif,12,15248567
image_013.tif,13,15274123
image_014.tif,14,15297456
image_015.tif,15,15321789
image_016.tif,16,15343234
image_017.tif,17,15369567
image_018.tif,18,15392834
image_019.tif,19,15418123
image_020.tif,20,15441456
image_021.tif,21,15467789
image_022.tif,22,15492234
image_023.tif,23,15518567
image_024.tif,24,15543834
image_025.tif,25,15571123
image_026.tif,26,15596456
image_027.tif,27,15623789
image_028.tif,28,15651234
image_029.tif,29,15678567
image_030.tif,30,15706834
image_031.tif,31,15735123
image_032.tif,32,15764456
image_033.tif,33,15793789
image_034.tif,34,15823234
image_035.tif,35,15853567
image_036.tif,36,15883834
image_037.tif,37,15915123
image_038.tif,38,15946456
image_039.tif,39,15978789
image_040.tif,40,16011234
image_041.tif,41,16044567
image_042.tif,42,16078834
image_043.tif,43,16113123
image_044.tif,44,16148456
image_045.tif,45,16184789
image_046.tif,46,16221234
image_047.tif,47,16258567
image_048.tif,48,16296834
image_049.tif,49,16335123
image_050.tif,50,16374456
image_051.tif,51,16414789
image_052.tif,52,16455234
image_053.tif,53,16496567
image_054.tif,54,16538834
image_055.tif,55,16581123
image_056.tif,56,16624456
image_057.tif,57,16668789
image_058.tif,58,16713234
image_059.tif,59,16758567
image_060.tif,60,16804834
image_061.tif,61,16851123
image_062.tif,62,16898456
image_063.tif,63,16946789
image_064.tif,64,16995234
image_065.tif,65,17044567
image_066.tif,66,17094834
image_067.tif,67,17145123
image_068.tif,68,17196456
image_069.tif,69,17248789
image_070.tif,70,17301234
image_071.tif,71,17354567
image_072.tif,72,17408834
image_073.tif,73,17463123
image_074.tif,74,17518456
